Snail.ID	size	species	time.emerge	Trial	time	x	y
11	2.8	non	3	wet	150	-2.8	1.6
11	2.8	non	3	wet	160	-3.3	1.9
11	2.8	non	3	wet	170	-3.6	1.9
11	2.8	non	3	wet	180	-3.9	1.9
11	2.8	non	3	wet	190	-4.3	2.3
11	2.8	non	3	wet	200	-4.4	2.4
11	2.8	non	3	wet	210	-4.6	2.6
11	2.8	non	3	wet	220	-4.4	2.6
11	2.8	non	3	wet	230	-4.5	2.6
11	2.8	non	3	wet	240	-4.5	2.6
11	2.8	non	3	wet	250	-4.5	2.6
11	2.8	non	3	wet	260	-4.6	2.8
11	2.8	non	3	wet	270	-4.3	2.6
11	2.8	non	3	wet	280	-4.1	2.8
11	2.8	non	3	wet	290	-4.2	2.7
11	2.8	non	3	wet	300	-4	2.7
3	1.8	non	0	dry	0	0	0
3	1.8	non	0	dry	10	0	0
3	1.8	non	0	dry	20	0	0
3	1.8	non	0	dry	30	0	0
3	1.8	non	0	dry	40	0	0
3	1.8	non	0	dry	50	0	0
3	1.8	non	0	dry	60	0	-0.1
3	1.8	non	0	dry	70	-0.4	0
3	1.8	non	0	dry	80	-0.7	0.3
3	1.8	non	0	dry	90	-0.9	0.6
3	1.8	non	0	dry	100	-1.1	0.7
3	1.8	non	0	dry	110	-1.3	0.8
3	1.8	non	0	dry	120	-1.3	0.9
3	1.8	non	0	dry	130	-1.4	0.9
3	1.8	non	0	dry	140	-1.3	1.1
3	1.8	non	0	dry	150	-1.3	1.1
3	1.8	non	0	dry	160	-1.3	1
3	1.8	non	0	dry	170	-1.6	0.7
3	1.8	non	0	dry	180	-2.3	0.3
3	1.8	non	0	dry	190	-2.4	0.7
3	1.8	non	0	dry	200	-2.4	1.1
3	1.8	non	0	dry	210	-2.4	1.6
3	1.8	non	0	dry	220	-2	1.8
3	1.8	non	0	dry	230	-1.8	2
3	1.8	non	0	dry	240	-1.8	2
3	1.8	non	0	dry	250	-1.7	2.1
3	1.8	non	0	dry	260	-1.8	2
3	1.8	non	0	dry	270	-1.8	2
3	1.8	non	0	dry	280	-1.8	2
3	1.8	non	0	dry	290	-1.8	2
3	1.8	non	0	dry	300	-1.8	2
3	1.8	non	0	wet	0	0	0
3	1.8	non	0	wet	10	0.2	0.2
3	1.8	non	0	wet	20	0.2	0.8
3	1.8	non	0	wet	30	0.3	1
3	1.8	non	0	wet	40	0.2	1.2
3	1.8	non	0	wet	50	0	0.5
3	1.8	non	0	wet	60	-0.1	0.1
3	1.8	non	0	wet	70	-0.3	0.4
3	1.8	non	0	wet	80	-0.4	0.4
3	1.8	non	0	wet	90	-0.5	-0.1
3	1.8	non	0	wet	100	-0.8	-0.5
3	1.8	non	0	wet	110	-1.2	-1.2
3	1.8	non	0	wet	120	-1.3	-1.3
3	1.8	non	0	wet	130	-1.8	-1.3
3	1.8	non	0	wet	140	-2.3	-1.3
3	1.8	non	0	wet	150	-2.7	-1.3
3	1.8	non	0	wet	160	-3.1	-1.4
3	1.8	non	0	wet	170	-3.2	-1.5
3	1.8	non	0	wet	180	-3.1	-1.5
3	1.8	non	0	wet	190	-3.1	-1.6
3	1.8	non	0	wet	200	-3.1	-1.4
3	1.8	non	0	wet	210	-3.1	-1.4
3	1.8	non	0	wet	220	-3.3	-1.3
3	1.8	non	0	wet	230	-3.4	-1.5
3	1.8	non	0	wet	240	-3.7	-1.8
3	1.8	non	0	wet	250	-3.8	-1.9
3	1.8	non	0	wet	260	-3.9	-2.3
3	1.8	non	0	wet	270	-3.8	-2.2
3	1.8	non	0	wet	280	-3.7	-2.3
3	1.8	non	0	wet	290	-3.3	-2.5
3	1.8	non	0	wet	300	-3.3	-2.7
9	2.9	non	16	dry	0	0	0
9	2.9	non	16	dry	10	0.4	-0.3
9	2.9	non	16	dry	20	0.4	-0.3
9	2.9	non	16	dry	30	0.4	-0.3
9	2.9	non	16	dry	40	0.4	-0.3
9	2.9	non	16	dry	50	0.4	-0.3
9	2.9	non	16	dry	60	0.3	-0.4
9	2.9	non	16	dry	70	0.2	0
9	2.9	non	16	dry	80	0.4	0.2
9	2.9	non	16	dry	90	0.4	0.1
9	2.9	non	16	dry	100	0.4	0.1
9	2.9	non	16	dry	110	0.5	0.2
9	2.9	non	16	dry	120	0.5	0.4
9	2.9	non	16	dry	130	0.7	0.8
9	2.9	non	16	dry	140	0.8	0.6
9	2.9	non	16	dry	150	1.3	0.4
9	2.9	non	16	dry	160	1.4	0.2
9	2.9	non	16	dry	170	1.2	0.2
9	2.9	non	16	dry	180	0.6	0.3
9	2.9	non	16	dry	190	0.3	0.4
9	2.9	non	16	dry	200	0.3	0.2
9	2.9	non	16	dry	210	0	0.5
9	2.9	non	16	dry	220	1.1	0.5
9	2.9	non	16	dry	230	1.8	0.6
9	2.9	non	16	dry	240	2	0.7
9	2.9	non	16	dry	250	2.3	0.7
9	2.9	non	16	dry	260	2.8	1
9	2.9	non	16	dry	270	3.2	1
9	2.9	non	16	dry	280	3.3	1.1
9	2.9	non	16	dry	290	3.5	1.5
9	2.9	non	16	dry	300	3.5	1.8
9	2.9	non	16	wet	0	0	0
9	2.9	non	16	wet	10	0	0
9	2.9	non	16	wet	20	0	0
9	2.9	non	16	wet	30	0	0
9	2.9	non	16	wet	40	0	0
9	2.9	non	16	wet	50	0	-0.2
9	2.9	non	16	wet	60	0	-0.2
9	2.9	non	16	wet	70	0	-0.2
9	2.9	non	16	wet	80	0	-0.2
9	2.9	non	16	wet	90	0	-0.2
9	2.9	non	16	wet	100	0	-0.2
9	2.9	non	16	wet	110	0	-0.2
9	2.9	non	16	wet	120	0	-0.2
9	2.9	non	16	wet	130	0	-0.2
9	2.9	non	16	wet	140	-0.2	-0.2
9	2.9	non	16	wet	150	-0.1	-0.2
9	2.9	non	16	wet	160	0	-0.2
9	2.9	non	16	wet	170	0	-0.2
9	2.9	non	16	wet	180	-0.1	-0.2
9	2.9	non	16	wet	190	0	-0.1
9	2.9	non	16	wet	200	0	-0.2
9	2.9	non	16	wet	210	0	-0.2
9	2.9	non	16	wet	220	0	-0.2
9	2.9	non	16	wet	230	0	-0.2
9	2.9	non	16	wet	240	0	-0.2
9	2.9	non	16	wet	250	0	-0.2
9	2.9	non	16	wet	260	0	-0.2
9	2.9	non	16	wet	270	0	-0.2
9	2.9	non	16	wet	280	0	-0.2
9	2.9	non	16	wet	290	0	-0.2
9	2.9	non	16	wet	300	0	-0.2
6	2.8	non	0	dry	0	0	0
6	2.8	non	0	dry	10	0	0
6	2.8	non	0	dry	20	0	0
6	2.8	non	0	dry	30	0	0
6	2.8	non	0	dry	40	0	0
6	2.8	non	0	dry	50	0	0
6	2.8	non	0	dry	60	0	0
6	2.8	non	0	dry	70	0	0
6	2.8	non	0	dry	80	0	0
6	2.8	non	0	dry	90	0	0
6	2.8	non	0	dry	100	0	0
6	2.8	non	0	dry	110	0	0
6	2.8	non	0	dry	120	0	0
6	2.8	non	0	dry	130	0	0
6	2.8	non	0	dry	140	0	0
6	2.8	non	0	dry	150	0	0
6	2.8	non	0	dry	160	0	0
6	2.8	non	0	dry	170	0	0
6	2.8	non	0	dry	180	0	0
6	2.8	non	0	dry	190	0	0
6	2.8	non	0	dry	200	0	0
6	2.8	non	0	dry	210	0	0
6	2.8	non	0	dry	220	0	0
6	2.8	non	0	dry	230	0	0
6	2.8	non	0	dry	240	-0.1	0
6	2.8	non	0	dry	250	-0.1	0
6	2.8	non	0	dry	260	-0.1	0
6	2.8	non	0	dry	270	-0.1	0
6	2.8	non	0	dry	280	-0.1	0
6	2.8	non	0	dry	290	-0.1	0
6	2.8	non	0	dry	300	-0.1	0
6	2.8	non	0	wet	0	0	0
6	2.8	non	0	wet	10	0	0
6	2.8	non	0	wet	20	0	0
6	2.8	non	0	wet	30	0	0
6	2.8	non	0	wet	40	0	0
6	2.8	non	0	wet	50	0	0
6	2.8	non	0	wet	60	0	0
6	2.8	non	0	wet	70	0	0
6	2.8	non	0	wet	80	0	0
6	2.8	non	0	wet	90	0	0
6	2.8	non	0	wet	100	0	0
6	2.8	non	0	wet	110	0	0
6	2.8	non	0	wet	120	0	0
6	2.8	non	0	wet	130	0	0
6	2.8	non	0	wet	140	0	0
6	2.8	non	0	wet	150	0	0
6	2.8	non	0	wet	160	0	0
6	2.8	non	0	wet	170	0	0
6	2.8	non	0	wet	180	0	0
6	2.8	non	0	wet	190	0	0
6	2.8	non	0	wet	200	0	0
6	2.8	non	0	wet	210	0	0
6	2.8	non	0	wet	220	0	0
6	2.8	non	0	wet	230	0	-0.1
6	2.8	non	0	wet	240	0	-0.1
6	2.8	non	0	wet	250	0	-0.1
6	2.8	non	0	wet	260	0.1	-0.1
6	2.8	non	0	wet	270	0.1	-0.1
6	2.8	non	0	wet	280	0.2	-0.1
6	2.8	non	0	wet	290	0.2	-0.1
6	2.8	non	0	wet	300	0.2	-0.1
A	1.8	native	20	dry	0	0	0
A	1.8	native	20	dry	10	0	0
A	1.8	native	20	dry	20	0	0
A	1.8	native	20	dry	30	0	0
A	1.8	native	20	dry	40	-0.1	0
A	1.8	native	20	dry	50	-0.1	0
A	1.8	native	20	dry	60	-0.2	0
A	1.8	native	20	dry	70	-0.2	0
A	1.8	native	20	dry	80	-0.3	0
A	1.8	native	20	dry	90	-0.1	0
A	1.8	native	20	dry	100	-0.1	0
A	1.8	native	20	dry	110	0.1	0.2
A	1.8	native	20	dry	120	0.5	0.1
A	1.8	native	20	dry	130	0.9	0.2
A	1.8	native	20	dry	140	1.4	0.1
A	1.8	native	20	dry	150	1.5	0.1
A	1.8	native	20	dry	160	1.7	0.1
